film_id,title,release_year,poster_downloaded,tmdb_id,poster_path,filename
80,El día de la revelación,2026,True,1275779,/uGww4UrU3316Mld4p30dgdM09Du.jpg,0080_El_día_de_la_revelación.jpg
81,Scary Movie,2026,True,1273221,/vUPE82BWRZwq6M5Xc9UNuf8AffK.jpg,0081_Scary_Movie.jpg
82,Toy Story 5,2026,True,1084244,/1yF3AztF3rQ8MZ8En8974AWo5zZ.jpg,0082_Toy_Story_5.jpg
83,Donselya,2024,True,1002398,/iVS3ZiPsKy8Hhc5Dipqgrjmoj2b.jpg,0083_Donselya.jpg
84,Los Vengadores,2012,True,24428,/ugX4WZJO3jEvTOerctAWJLinujo.jpg,0084_Los_Vengadores.jpg
85,El drama,2026,True,1325734,/zgfBYGYCNcOZ51JDbr6tm45H8y0.jpg,0085_El_drama.jpg
86,Cisza nocna,2024,True,1281425,/qfqSIq7MVsbepXqiZeVFNl2ARhl.jpg,0086_Cisza_nocna.jpg
87,Vengadores: Infinity War,2018,True,299536,/ksBQ4oHQDdJwND8H90ay8CbMihU.jpg,0087_Vengadores__Infinity_War.jpg
88,SEND HELP (Enviad ayuda),2026,True,1198994,/qXZZtyzuTX3KMfSLssCR6J0mODd.jpg,0088_SEND_HELP__Enviad_ayuda_.jpg
89,La guerra de los mundos,2025,True,755898,/fjgSlNGECNgVeMJaOdDAXmGh7ZM.jpg,0089_La_guerra_de_los_mundos.jpg
90,Avatar,2009,True,19995,/t5T3LPbLLgP2OP6kloM9p2PXpJL.jpg,0090_Avatar.jpg
91,Drácula,2025,True,1246049,/ff7fyDdtXM2wu9jsm9gOMYtpvOl.jpg,0091_Drácula.jpg
92,ദൃശ്യം 3,2026,True,847742,/456FlpiU1iOBnaOxSd783QhZKWw.jpg,0092_ദ_ശ_യ__3.jpg
93,Noche de bodas 2,2026,True,1266127,/nDXKMOLJuBUKhYmHAY9qJdikuAq.jpg,0093_Noche_de_bodas_2.jpg
94,Bosco d'amore,1981,True,204407,/jNV46xSIONTEvIAWon6NnveH7eG.jpg,0094_Bosco_d_amore.jpg
95,Culpa mía,2023,True,1010581,/gp31EwMH5D2bftOjscwkgTmoLAB.jpg,0095_Culpa_mía.jpg
96,Ven a volar conmigo,2026,True,1662414,/9kG1FfRD3rONR1PCPPaSl1f5V8I.jpg,0096_Ven_a_volar_conmigo.jpg
97,Blast,2026,True,1515729,/ho824aZtnBzE6FuJRn2znQCq4qQ.jpg,0097_Blast.jpg
98,Cincuenta sombras liberadas,2018,True,337167,/sM8hwgWZlmZf0h4aOkNopb3HBIo.jpg,0098_Cincuenta_sombras_liberadas.jpg
99,Raja Shivaji,2026,True,1247165,/uzmgZmxuMcbDnV11QfYRE8eEzSS.jpg,0099_Raja_Shivaji.jpg
100,El diablo viste de Prada 2,2026,True,1314481,/sz687EF7yJMS4VNEdHKT9ebkhA9.jpg,0100_El_diablo_viste_de_Prada_2.jpg
101,Bingo Bongo,1982,True,62029,/1JD88Pkmdp1Gi0hwPJaVlvm8D4N.jpg,0101_Bingo_Bongo.jpg
102,Te van a matar,2026,True,1292695,/9dEn8a12dqkQw48zxQhPcpQ7D5W.jpg,0102_Te_van_a_matar.jpg
103,Apocalypto,2006,True,1579,/yQ4uC13IYVerbxMMXeSogSQUkOT.jpg,0103_Apocalypto.jpg
104,Máquina de guerra,2026,True,1265609,/5C18uOTbDZRvVIZcVRO747k2fUi.jpg,0104_Máquina_de_guerra.jpg
105,Kesong Puti,2026,True,1669051,/8zYU8hlKR5111IToxXvv5575tZG.jpg,0105_Kesong_Puti.jpg
106,Habitación en Roma,2010,True,48650,/4kF4qRXFd7MqX2bAJX3e3zQSxhV.jpg,0106_Habitación_en_Roma.jpg
107,Scream 7,2026,True,1159559,/jgJCp2TOtTMGWS766tQhNcuFhjs.jpg,0107_Scream_7.jpg
108,El padrino,1972,True,238,/ApiEfzSkrqS4m1L5a2GwWXzIiAs.jpg,0108_El_padrino.jpg
109,F1 la película,2025,True,911430,/wfpqaxoPKvcqzLy8FO0enGXBzU.jpg,0109_F1_la_película.jpg
110,El caballero oscuro,2008,True,155,/8QDQExnfNFOtabLDKqfDQuHDsIg.jpg,0110_El_caballero_oscuro.jpg
111,Venganza,2026,True,1613798,/ggJGx8fwwy21gEIXYusIlHcUn8z.jpg,0111_Venganza.jpg
112,Ruta de escape,2026,True,1171145,/oUF0tTmbwlfkhiYSU5nXJccr5K0.jpg,0112_Ruta_de_escape.jpg
113,El señor de los anillos: El retorno del rey,2003,True,122,/mWuFbQrXyLk2kMBKF9TUPtDwuPx.jpg,0113_El_señor_de_los_anillos__El_retorno_del_rey.jpg
114,Kraken,2026,True,1110034,/8ExwomWgJoXBdY3u1Otiw2zY9wZ.jpg,0114_Kraken.jpg
115,Spider-Man: No Way Home,2021,True,634649,/miZFgV81xG324rpUknQX8dtXuBl.jpg,0115_Spider-Man__No_Way_Home.jpg
116,火遮眼,2026,True,1280738,/ryOVzYoGhiOn4QtkwSa8pUTivPO.jpg,0116_火遮眼.jpg
117,Memento,2000,True,77,/neHrQLVfT3KPqvv30pNPyRb6chQ.jpg,0117_Memento.jpg
118,El señor de los anillos: La comunidad del anillo,2001,True,120,/9xtH1RmAzQ0rrMBNUMXstb2s3er.jpg,0118_El_señor_de_los_anillos__La_comunidad_del_anillo.jpg
119,Salvaje Despertar,2016,True,462183,/qWkWESVyw1nsX89AXshyRa31Bk6.jpg,0119_Salvaje_Despertar.jpg
120,Titanic,1997,True,597,/rBTJZrf5UWaxzg5YJd2eqpeaSvm.jpg,0120_Titanic.jpg
121,Harry Potter y la piedra filosofal,2001,True,671,/3MKK7vAJLtSkBTABMTjxf6TOCo3.jpg,0121_Harry_Potter_y_la_piedra_filosofal.jpg
122,Spider-Man: Un nuevo día,2026,True,969681,/2OKQrD5Txku6o5JQmxXrUAGKrSt.jpg,0122_Spider-Man__Un_nuevo_día.jpg
123,Brothers Under Fire,2026,True,1414413,/e5EKqk9V7N3w0WvYFhl6wSVrMp0.jpg,0123_Brothers_Under_Fire.jpg
124,Expediente Warren: El último rito,2025,True,1038392,/qdoqogLNR6myoRrxYFxF4UTkFne.jpg,0124_Expediente_Warren__El_último_rito.jpg
125,火遮眼,2026,True,1280738,/ryOVzYoGhiOn4QtkwSa8pUTivPO.jpg,0125_火遮眼.jpg
126,Las guerreras k-pop,2025,True,803796,/6EQMqEmdG5HoGe2zT1WwWUMvVhv.jpg,0126_Las_guerreras_k-pop.jpg
127,Pulp Fiction,1994,True,680,/hNcQAuquJxTxl2fJFs1R42DrWcf.jpg,0127_Pulp_Fiction.jpg
128,Protector,2026,True,1383731,/b1j1XEtLWtXnwK21FaICZBbKBjH.jpg,0128_Protector.jpg
129,Salitan,2024,True,1226293,/rMgG7cWuq9O6zhhLs2CbqIKVA8V.jpg,0129_Salitan.jpg
130,スチュワーデス・スキャンダル　獣のように抱きしめて,1984,True,578883,/rXP4QwEZFwlBawT6V2QHkshLOnI.jpg,0130_スチュワーデス_スキャンダル_獣のように抱きしめて.jpg
131,Nueve canciones,2004,True,27,/7Bkt2Z989GasK0YKykIMyLPYOGz.jpg,0131_Nueve_canciones.jpg
132,Parásitos,2019,True,496243,/4N55tgxDW0RRATyrZHbx0q9HUKv.jpg,0132_Parásitos.jpg
133,How to Have Sex,2023,True,1075175,/7GDdwWIxc8ainsb0TvC2AIEXTOz.jpg,0133_How_to_Have_Sex.jpg
134,El viaje de Chihiro,2001,True,129,/2RcxjDykOssx4SfqshewyI9vfSl.jpg,0134_El_viaje_de_Chihiro.jpg
135,Peligrosa obsesión,2014,True,269955,/zMCeJiRbV7Z5TFA8JpALExAQra.jpg,0135_Peligrosa_obsesión.jpg
136,Los pecadores,2025,True,1233413,/zdClwqpYQXBSCGGDMdtvsuggwec.jpg,0136_Los_pecadores.jpg
137,DOOR,1988,True,405746,/rmD3Q8wPrzbe5P5gDgbzR0fsDQx.jpg,0137_DOOR.jpg
